Sample_new,sample.name,year,plate,plate.location,run.date,enzyme,activity.nmol.h.g,incubation.time,
C07-2,N6-2,2019,9,2,Jan-23,CELO,485.6584224,1.hr,
C07-3,N6-3,2019,9,3,Jan-23,CELO,432.4644596,1.hr,
U01-1,U01-1,2020,25,1,Jan-23,CELO,979.8492313,1.hr,
U01-2,U01-2,2020,25,2,Jan-23,CELO,778.0374833,1.hr,
U01-3,U01-3,2020,25,3,Jan-23,CELO,789.1319891,1.hr,
U01-4,U01-4,2020,26,1,Jan-23,CELO,1301.531379,1.hr,
U01-5,U01-5,2020,26,2,Jan-23,CELO,1366.043903,1.hr,
U01-6,U01-6,2020,26,3,Jan-23,CELO,851.9312673,1.hr,
U02-1,U02-1,2020,27,1,Jan-23,CELO,523.3436614,1.hr,
U02-2,U02-2,2020,27,2,Jan-23,CELO,560.1707107,1.hr,
U02-3,U02-3,2020,27,3,Jan-23,CELO,400.8577543,1.hr,
U02-4,U02-4,2020,28,1,Jan-23,CELO,841.9876264,1.hr,
U02-5,U02-5,2020,28,2,Jan-23,CELO,797.4596162,1.hr,
U02-6,U02-6,2020,28,3,Jan-23,CELO,525.2541898,1.hr,
U03-1,U03-1,2020,29,1,Jan-23,CELO,539.7019668,1.hr,
U03-2,U03-2,2020,29,2,Jan-23,CELO,383.1846198,1.hr,
U03-3,U03-3,2020,29,3,Jan-23,CELO,373.7404409,1.hr,
U03-4,U03-4,2020,30,1,Jan-23,CELO,544.9128878,1.hr,
U03-5,U03-5,2020,30,2,Jan-23,CELO,509.762761,1.hr,
U03-6,U03-6,2020,30,3,Jan-23,CELO,340.3812429,1.hr,
C04-1,C04-1,2020,31,1,Jan-23,CELO,306.8707962,1.hr,
C04-2,C04-2,2020,31,2,Jan-23,CELO,422.3687211,1.hr,
C04-3,C04-3,2020,31,3,Jan-23,CELO,645.0080081,1.hr,
C04-4,C04-4,2020,32,1,Jan-23,CELO,582.983494,1.hr,
C04-5,C04-5,2020,32,2,Jan-23,CELO,643.4787595,1.hr,
C04-6,C04-6,2020,32,3,Jan-23,CELO,666.8779371,1.hr,
C05-1,C05-1,2020,33,1,Jan-23,CELO,773.7393915,1.hr,
C05-2,C05-2,2020,33,2,Jan-23,CELO,913.988843,1.hr,
C05-3,C05-3,2020,33,3,Jan-23,CELO,748.311779,1.hr,
C05-4,C05-4,2020,34,1,Jan-23,CELO,392.766716,1.hr,
C05-5,C05-5,2020,34,2,Jan-23,CELO,527.1505468,1.hr,
C05-6,C05-6,2020,34,3,Jan-23,CELO,725.3172493,1.hr,
C06-1,C06-1,2020,35,1,Jan-23,CELO,261.7796854,1.hr,
C06-2,C06-2,2020,35,2,Jan-23,CELO,171.5476761,1.hr,
C06-3,C06-3,2020,35,3,Jan-23,CELO,335.0832459,1.hr,
C06-4,C06-4,2020,36,1,Jan-23,CELO,553.6864265,1.hr,
C06-5,C06-5,2020,36,2,Jan-23,CELO,445.9040737,1.hr,
C06-6,C06-6,2020,36,3,Jan-23,CELO,277.890351,1.hr,
L08-1,L08-1,2020,37,1,Jan-23,CELO,375.8006898,1.hr,
L08-2,L08-2,2020,37,2,Jan-23,CELO,325.5946608,1.hr,
L08-3,L08-3,2020,37,3,Jan-23,CELO,423.5190889,1.hr,
L08-4,L08-4,2020,38,1,Jan-23,CELO,494.1701542,1.hr,
L08-5,L08-5,2020,38,2,Jan-23,CELO,363.9695259,1.hr,
L08-6,L08-6,2020,38,3,Jan-23,CELO,598.4414119,1.hr,
L09-1,L09-1,2020,39,1,Jan-23,CELO,1038.070909,1.hr,
L09-2,L09-2,2020,39,2,Jan-23,CELO,1144.457998,1.hr,
L09-3,L09-3,2020,39,3,Jan-23,CELO,661.9514084,1.hr,
L09-4,L09-4,2020,40,1,Jan-23,CELO,1390.870917,1.hr,
L09-5,L09-5,2020,40,2,Jan-23,CELO,962.1808313,1.hr,
L09-6,L09-6,2020,40,3,Jan-23,CELO,689.40047,1.hr,
L10-1,L10-1,2020,41,1,Jan-23,CELO,815.3724676,1.hr,
L10-2,L10-2,2020,41,2,Jan-23,CELO,650.2760045,1.hr,
L10-3,L10-3,2020,41,3,Jan-23,CELO,768.0001817,1.hr,
L10-4,L10-4,2020,42,1,Jan-23,CELO,886.5355317,1.hr,
L10-5,L10-5,2020,42,2,Jan-23,CELO,795.6603861,1.hr,
L10-6,L10-6,2020,42,3,Jan-23,CELO,722.3373045,1.hr,
L11-1,L11-1,2020,43,1,Feb-23,CELO,700.3637379,1.hr,
L11-2,L11-2,2020,43,2,Feb-23,CELO,652.8035319,1.hr,
L11-3,L11-3,2020,43,3,Feb-23,CELO,612.849013,1.hr,
L11-4,L11-4,2020,44,1,Feb-23,CELO,612.9891835,1.hr,
L11-5,L11-5,2020,44,2,Feb-23,CELO,649.8900939,1.hr,
L11-6,L11-6,2020,44,3,Feb-23,CELO,626.6835586,1.hr,
L12-1,L12-1,2020,45,1,Feb-23,CELO,993.9365818,1.hr,
L12-2,L12-2,2020,45,2,Feb-23,CELO,746.4571794,1.hr,
L12-3,L12-3,2020,45,3,Feb-23,CELO,782.3961231,1.hr,
L12-4,L12-4,2020,46,1,Feb-23,CELO,1077.671762,1.hr,
L12-5,L12-5,2020,46,2,Feb-23,CELO,972.469405,1.hr,
L12-6,L12-6,2020,46,3,Feb-23,CELO,505.8293419,1.hr,
C07-1,C07-1,2020,47,1,Feb-23,CELO,1081.337223,1.hr,
C07-2,C07-2,2020,47,2,Feb-23,CELO,513.8519042,1.hr,
C07-3,C07-3,2020,47,3,Feb-23,CELO,773.3825063,1.hr,
C07-4,C07-4,2020,48,1,Feb-23,CELO,523.1153904,1.hr,
C07-5,C07-5,2020,48,2,Feb-23,CELO,461.9603646,1.hr,
